id,Robot Name,Robot Type,Map Name,Error Code,Title,Description,status,Assigned User,note,Time Stamp,Resolution Time,Resolution Time (s),Unique ID
380314,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,FMS1-1.1,SERVICE CALL RESPONSE,,RESOLVED,,"Service call failed with data: {'serialNumber': 'TCF_EDU_3', 'actions': [{'actionType': 'customInstantAction', 'actionId': '9397e69e-1364-4da8-8cb1-1438ecb22837', 'actionDescription': 'service_call', 'blockingType': 'HARD', 'actionParameters': [{'key': 'service', 'value': '/TCF_EDU_3/remove_error'}, {'key': 'data', 'value': {'error_id': 'dfa0632c-25a0-40dd-93de-d1e9458d58ca'}}, {'key': 'require_response', 'value': True}]}]}",2026-08-04 21:22:26 +07:00,00h 00m 00s,0,
380313,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,FMS1-1.1,SERVICE CALL RESPONSE,,RESOLVED,,"Service call failed with data: {'serialNumber': 'TCF_EDU_3', 'actions': [{'actionType': 'customInstantAction', 'actionId': '110223f2-86dc-4d19-a1a1-9d1662cfb598', 'actionDescription': 'service_call', 'blockingType': 'HARD', 'actionParameters': [{'key': 'service', 'value': '/TCF_EDU_3/tms_retry'}, {'key': 'data', 'value': {}}, {'key': 'require_response', 'value': True}]}]}",2026-08-04 21:22:21 +07:00,00h 00m 04s,4,
380312,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,EH2-2.4,E-Stop not released properly. Press Resume button.,,RESOLVED,,,2026-08-04 21:22:16 +07:00,00h 00m 13s,13,dfa0632c-25a0-40dd-93de-d1e9458d58ca
380311,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:22:11 +07:00,00h 00m 15s,15,d25b2f07-83dd-46f5-a3cb-db0d7c282f59
380310,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:22:09 +07:00,00h 00m 01s,1,16acdbbf-aa40-4a24-a52e-cdfa78807833
380309,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:22:02 +07:00,00h 00m 00s,0,a8d4c57c-9910-4e74-9f54-2ce7e6d42f4b
380308,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:22:01 +07:00,00h 00m 01s,1,8a050601-fcc9-4669-b389-864fd791737a
380307,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ESFL1-2.13,Software has crashed : VDA Client,,RESOLVED,,,2026-08-04 21:21:32 +07:00,00h 01m 21s,81,2c06c186-1624-4666-97fa-88a324f21c02
380306,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EHFL4-1.49,Drive Motor Fault - Main Driver Fault,"""Set: Main Contactor driver is either open or shorted. This fault can be set only when Main Enable = On.Clear: Restore/repair any external wiring or device coil to the correct state",RESOLVED,,,2026-08-04 21:20:44 +07:00,00h 00m 00s,0,7256bff4-f7df-4318-82d3-330a9a6afb17
380305,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,FMS1-1.1,SERVICE CALL RESPONSE,,RESOLVED,,"Service call failed with data: {'serialNumber': 'TCF_EDU_4', 'actions': [{'actionType': 'customInstantAction', 'actionId': 'fab3f8a7-3909-42e6-88eb-7fed11ae9fc1', 'actionDescription': 'service_call', 'blockingType': 'HARD', 'actionParameters': [{'key': 'service', 'value': '/TCF_EDU_4/remove_error'}, {'key': 'data', 'value': {'error_id': 'b9fbf079-4b71-4145-9d35-4d13628bd702'}}, {'key': 'require_response', 'value': True}]}]}",2026-08-04 21:20:44 +07:00,00h 00m 00s,0,
380304,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,FMS1-1.1,SERVICE CALL RESPONSE,,RESOLVED,,"Service call failed with data: {'serialNumber': 'TCF_EDU_4', 'actions': [{'actionType': 'customInstantAction', 'actionId': 'ddba87e2-7a66-41af-aaa5-b880020823bf', 'actionDescription': 'service_call', 'blockingType': 'HARD', 'actionParameters': [{'key': 'service', 'value': '/TCF_EDU_4/tms_retry'}, {'key': 'data', 'value': {}}, {'key': 'require_response', 'value': True}]}]}",2026-08-04 21:20:39 +07:00,00h 00m 04s,4,
380303,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH2-2.4,E-Stop not released properly. Press Resume button.,,RESOLVED,,,2026-08-04 21:20:34 +07:00,00h 00m 10s,10,b9fbf079-4b71-4145-9d35-4d13628bd702
